image_id	category	mn_name	adequacy	pred_name	adequacy	pred_score_converted
32	same_cluster	cabinet	1.0	cabinets	1.0	0.6406255515044453
160	error	dress	1.0	woman	--	0.29209320920228393
308	same_cluster	bridge	1.0	sidewalk,side walk	1.0	0.37729693886651466
474	hit	table	1.0	table	1.0	0.7432155124543525
535	hit	table	1.0	table	1.0	0.9894324836437987
556	other_object-bounding box	rug	1.0	floor	0.5	0.5246145019831955
625	hit	car	1.0	car	1.0	0.859942348879112
691	hyponym	animal	1.0	giraffe	--	0.42507108914889247
1045	hit	table	1.0	table	1.0	0.591576989646083
1074	hit	house	1.0	house	1.0	0.818972274416983
1132	same_cluster	counter	1.0	table	1.0	0.4002790989503746
1375	hit	man	1.0	man	1.0	0.5202432341721733
1590	hit	table	0.41666666666666663	table	0.41666666666666663	0.29378946002541195
1687	hit	chair	1.0	chair	1.0	0.49496350627292096
2611	hit	bird	1.0	bird	1.0	0.9925594158923529
2657	hit	animal	1.0	animal	1.0	0.4584825968346469
3611	hit	horse	1.0	horse	1.0	0.9810045812627913
3966	co-hyponyms	desk	1.0	counter	--	0.662054202478235
4257	hit	building	1.0	building	1.0	0.7473221221144576
4711	hit	house	1.0	house	1.0	0.7781231586736383
4725	hit	house	1.0	house	1.0	0.7314116438534181
4766	hit	house	1.0	house	1.0	0.8663548786815949
4884	hit	chair	1.0	chair	1.0	0.9933041705382468
4911	same_cluster	carpet	1.0	floor	1.0	0.6946863401115677
61562	hit	rug	1.0	rug	1.0	0.21487879113225278
61586	same_cluster	umpire	1.0	man	1.0	0.424441797999615
61590	hit	boy	1.0	boy	1.0	0.3719872933016726
150336	hit	woman	1.0	woman	1.0	0.3850835053077515
150418	hit	horse	1.0	horse	1.0	0.9830308794450344
286084	hit	truck	1.0	truck	1.0	0.9469864750808631
498263	same_cluster	sink	0.9166666666666666	counter	0.9166666666666666	0.7129959638130317
498298	hit	woman	1.0	woman	1.0	0.8568166924098272
498334	hit	shirt	1.0	shirt	1.0	0.8467575270003562
712987	hit	person	1.0	person	1.0	0.356860016458502
713267	hit	motorcycle	1.0	motorcycle	1.0	0.6806537272563994
713472	hit	couch	1.0	couch	1.0	0.6203913529307539
713702	hit	train	1.0	train	1.0	0.44939205996445836
1159909	hit	desk	0.8333333333333334	desk	0.8333333333333334	0.6937274334351006
1159981	hit	bus	0.8333333333333334	bus	0.8333333333333334	0.8551468262273333
1160027	hit	bathtub	1.0	bathtub	1.0	0.5082793978962986
1160051	hit	couch	1.0	couch	1.0	0.5200066311050455
1160088	hit	motorcycle	1.0	motorcycle	1.0	0.6996784233810716
1160203	hit	bed	1.0	bed	1.0	0.9752350315851791
1591814	hit	dugout	1.0	dugout	1.0	0.48593734455471205
1591904	same_cluster	airplane	1.0	plane	1.0	0.8462872165210403
1591965	error	table	0.8333333333333334	ground	--	0.31624776731733634
1592028	hit	table	1.0	table	1.0	0.5995279227757635
1592205	same_cluster	airplane	1.0	plane	1.0	0.9045271554577365
1592412	hit	boat	1.0	boat	1.0	0.9787260956271897
1593036	hit	couch	1.0	couch	1.0	0.5975278876141612
2315401	hit	shirt	0.33333333333333337	shirt	0.33333333333333337	0.6290226329402494
2315509	hit	cat	1.0	cat	1.0	0.9633577681059543
2315539	hit	bench	1.0	bench	1.0	0.6974233985578204
2315708	other_object-bounding box	knife	1.0	banana	0.33333333333333337	0.6020521128221591
2315931	hit	bird	1.0	bird	1.0	0.9890833122473339
2315994	hit	giraffe	1.0	giraffe	1.0	0.8254639897187491
2316008	hit	table	1.0	table	1.0	0.8564108106448644
2316156	hit	woman	1.0	woman	1.0	0.5765631021474585
2316232	hit	boat	1.0	boat	1.0	0.9355868623142053
2316235	hit	bridge	1.0	bridge	1.0	0.7600655393800005
