image_id	category	mn_name	adequacy	pred_name	adequacy	pred_score_converted
32	same_cluster	cabinet	1.0	cabinets	1.0	0.8284855559680364
160	co-hyponyms	dress	1.0	jacket	--	0.20935888508554934
308	same_cluster	bridge	1.0	sidewalk,side walk	1.0	0.46570745492746896
474	hit	table	1.0	table	1.0	0.7854692654090725
535	hit	table	1.0	table	1.0	0.922874138830423
556	other_object-bounding box	rug	1.0	floor	0.5	0.35729551550676064
625	hit	car	1.0	car	1.0	0.36066480622940494
691	hyponym	animal	1.0	giraffe	--	0.43426589873465227
1045	hit	table	1.0	table	1.0	0.8718139982919177
1074	same_cluster	house	1.0	building	1.0	0.48038397416062356
1132	same_cluster	counter	1.0	table	1.0	0.08659641315577365
1375	hit	man	1.0	man	1.0	0.7059595468672032
1590	hit	table	0.41666666666666663	table	0.41666666666666663	0.5368534522951552
1687	hit	chair	1.0	chair	1.0	0.7537780449671929
2611	hit	bird	1.0	bird	1.0	0.9512140049383464
2657	hit	animal	1.0	animal	1.0	0.5366695949292489
3611	hit	horse	1.0	horse	1.0	0.8842286549916799
3966	co-hyponyms	desk	1.0	counter	--	0.49577571716996194
4257	hit	building	1.0	building	1.0	0.7168242094245103
4711	hit	house	1.0	house	1.0	0.67680597042532
4725	hit	house	1.0	house	1.0	0.6307220627475395
4766	hit	house	1.0	house	1.0	0.7607132637294126
4884	hit	chair	1.0	chair	1.0	0.9813509314039544
4911	same_cluster	carpet	1.0	floor	1.0	0.6437038342525117
61562	co-hyponyms	rug	1.0	bed	--	0.24497301853451015
61586	same_cluster	umpire	1.0	man	1.0	0.3502599276473448
61590	hit	boy	1.0	boy	1.0	0.4976535551037462
150336	hit	woman	1.0	woman	1.0	0.6393598101738972
150418	hit	horse	1.0	horse	1.0	0.953228870435255
286084	hit	truck	1.0	truck	1.0	0.9437081655825654
498263	same_cluster	sink	0.9166666666666666	counter	0.9166666666666666	0.36663135251571477
498298	hit	woman	1.0	woman	1.0	0.8332634410014947
498334	hit	shirt	1.0	shirt	1.0	0.6962288642129785
712987	same_cluster	person	1.0	woman	1.0	0.5110501313956135
713267	hit	motorcycle	1.0	motorcycle	1.0	0.15758704034986198
713472	hit	couch	1.0	couch	1.0	0.5239736029300442
713702	hit	train	1.0	train	1.0	0.24740056592532544
1159909	hit	desk	0.8333333333333334	desk	0.8333333333333334	0.023655383773483796
1159981	hit	bus	0.8333333333333334	bus	0.8333333333333334	0.8394473002873633
1160027	same_cluster	bathtub	1.0	tub	1.0	0.33413392618723387
1160051	hit	couch	1.0	couch	1.0	0.31742921674737584
1160088	hit	motorcycle	1.0	motorcycle	1.0	0.7657247487449412
1160203	hit	bed	1.0	bed	1.0	0.955355427159945
1591814	error	dugout	1.0	shirt	--	0.18331621999587752
1591904	same_cluster	airplane	1.0	plane	1.0	0.7767711433492408
1591965	error	table	0.8333333333333334	bench	--	0.0682693212460207
1592028	hit	table	1.0	table	1.0	0.49266659639330546
1592205	same_cluster	airplane	1.0	plane	1.0	0.6314316073348701
1592412	hit	boat	1.0	boat	1.0	0.9753990648408477
1593036	hit	couch	1.0	couch	1.0	0.519660572581737
2315401	hit	shirt	0.33333333333333337	shirt	0.33333333333333337	0.6174701602556293
2315509	hit	cat	1.0	cat	1.0	0.6457088119384685
2315539	hit	bench	1.0	bench	1.0	0.8664867589941301
2315708	other_object-bounding box	knife	1.0	banana	0.33333333333333337	0.6471569548921972
2315931	hit	bird	1.0	bird	1.0	0.9768358800851641
2315994	hit	giraffe	1.0	giraffe	1.0	0.9306579464949563
2316008	hit	table	1.0	table	1.0	0.9017242060377774
2316156	hit	woman	1.0	woman	1.0	0.5455324663787763
2316232	hit	boat	1.0	boat	1.0	0.9249078250049768
2316235	hit	bridge	1.0	bridge	1.0	0.47732886625246
2316247	hit	cow	1.0	cow	1.0	0.5999588912448398
2316279	hit	cat	1.0	cat	1.0	0.8761197699574876
2316318	hit	bench	1.0	bench	1.0	0.9545612215357062
2316621	hit	boat	1.0	boat	1.0	0.8766980465578826
2316635	hit	dog	1.0	dog	1.0	0.9662227981395874
2316823	hit	horse	1.0	horse	1.0	0.9866963643143214
2316881	hit	plane	1.0	plane	1.0	0.5990251816061126
2317073	same_cluster	airplane	1.0	plane	1.0	0.5776579503734028
2317185	same_cluster	skateboarder	1.0	man	1.0	0.4258741324458682
2317461	hit	bed	1.0	bed	1.0	0.3253581720140066
2317476	hit	man	1.0	man	1.0	0.721593100008996
2317497	hyponym	baseball player	1.0	catcher	--	0.314364464161658
2317541	hit	train	1.0	train	1.0	0.7632737085574102
2317743	error	hot dog,hotdog	0.875	bun	--	0.21647142691113366
2317819	hit	pizza	1.0	pizza	1.0	0.7447816365002815
2317863	hit	cat	1.0	cat	1.0	0.9847779738455539
2318065	co-hyponyms	skateboarder	1.0	woman	--	0.4029374776605068
2318299	other_object-bounding box	dress	1.0	woman	0.16666666666666663	0.7158303516417694
2318321	error	sandwich	1.0	dirt	--	0.007101254904093874
2318653	other_object-None	pizza	0.33333333333333337	cheese	1.0	0.5233934876482951
2318682	hit	table	1.0	table	1.0	0.551505646842805
2318709	hit	boy	1.0	boy	1.0	0.31783229735571894
2318816	hit	jacket	1.0	jacket	1.0	0.5608964095081727
2318853	hit	train	1.0	train	1.0	0.7835995180153055
2318958	hit	bench	1.0	bench	1.0	0.9609647034644141
2319130	hit	bed	1.0	bed	1.0	0.9387968936415235
2319243	hit	window	0.9166666666666666	window	0.9166666666666666	0.8680165902416912
2319291	hit	cow	1.0	cow	1.0	0.2194326840163319
2319473	error	dress	1.0	man	--	0.21204722934633072
2319561	hit	horse	1.0	horse	1.0	0.31879157439545436
2319606	hit	cat	1.0	cat	1.0	0.8907999569793121
2319626	hit	dog	1.0	dog	1.0	0.985332252074076
2319638	hit	pizza	1.0	pizza	1.0	0.39203927581554987
2319738	hit	giraffe	1.0	giraffe	1.0	0.9559212224746138
2319764	hit	dog	1.0	dog	1.0	0.9284622894635409
2319842	error	shirt	1.0	laptop	--	0.026382033310300004
2320078	hit	horse	1.0	horse	1.0	0.9218129514816502
2320159	hit	dress	1.0	dress	1.0	0.6682385058111895
2320285	same_cluster	car	0.8333333333333334	truck	0.8333333333333334	0.6124791561202961
2320381	hit	house	1.0	house	1.0	0.8756463977888845
2320486	hit	motorcycle	1.0	motorcycle	1.0	0.7769417429204242
2320516	hit	couch	1.0	couch	1.0	0.21934581606167697
2320540	hit	boy	1.0	boy	1.0	0.1645237144212253
2320729	hit	shirt	1.0	shirt	1.0	0.8316862288866488
2320763	other_object-bounding box	rug	0.875	floor	0.375	0.7958273222556063
2320922	hit	boat	1.0	boat	1.0	0.9301478449792657
2320949	hit	desk	1.0	desk	1.0	0.5607124210983552
2321375	hit	pizza	1.0	pizza	1.0	0.44721236380519286
2321465	same_cluster	airplane	1.0	plane	1.0	0.6326024918460197
2321593	co-hyponyms	fork	1.0	spoon	--	0.414467106874461
2321601	same_cluster	airplane	1.0	plane	1.0	0.4785218270539577
2321797	hit	giraffe	1.0	giraffe	1.0	0.965560614104149
2322197	hit	truck	1.0	truck	1.0	0.8740094082237395
2322229	hit	bench	1.0	bench	1.0	0.9367300178998152
2322231	same_cluster	truck	1.0	car	1.0	0.5969611638198029
2322259	hit	building	1.0	building	1.0	0.69671547227873
2322312	hit	truck	1.0	truck	1.0	0.49023228515354256
2322327	hit	pan	1.0	pan	1.0	0.34988431118202257
2322499	hit	table	1.0	table	1.0	0.893016025151044
2322717	hit	woman	1.0	woman	1.0	0.8669291598067691
2322761	same_cluster	woman	0.625	man	0.625	0.427938067439015
2322886	hit	car	1.0	car	1.0	0.7307702557112166
2322892	co-hyponyms	child	1.0	boy	--	0.6506504563729586
2322899	hit	sheep	1.0	sheep	1.0	0.33538073052168854
2322926	hit	counter	1.0	counter	1.0	0.7672205783824121
2322990	same_cluster	counter	0.8333333333333334	table	0.8333333333333334	0.42123056107886375
2323003	hit	sandwich	1.0	sandwich	1.0	0.6363352242762231
2323093	same_cluster	suit	1.0	jacket	1.0	0.5181391441468862
2323172	same_cluster	woman	1.0	girl	1.0	0.7111431147745726
2323428	error	planter	1.0	oven	--	0.0881732593244585
2323600	error	train	0.9166666666666666	door	--	0.00366402834626697
2323699	hit	dog	1.0	dog	1.0	0.8015966565045413
2323727	hit	cake	0.8333333333333334	cake	0.8333333333333334	0.9544382358552239
2323784	hit	rug	1.0	rug	1.0	0.5846301408616673
2323863	error	jacket	1.0	man	--	0.29345865024870704
2323871	hit	bird	1.0	bird	1.0	0.8721753008993363
2323934	hit	bridge	1.0	bridge	1.0	0.977144125276933
2323938	same_cluster	rice	1.0	food	1.0	0.4318915014040212
2323957	hit	hat	1.0	hat	1.0	0.9727566827809688
2324191	hit	cat	1.0	cat	1.0	0.9724620782617746
2324423	synonym_cl	woman	1.0	girl	--	0.21637885916478064
2325275	same_cluster	baseball player	1.0	player	1.0	0.26926595529348296
2325311	hit	boat	0.8333333333333334	boat	0.8333333333333334	0.5969930602924279
2326137	hit	bowl	1.0	bowl	1.0	0.6718857356104945
2326211	error	sandwich	1.0	plate	--	0.3976846503950606
2326627	hit	cat	1.0	cat	1.0	0.8886157902134969
2326790	hit	man	1.0	man	1.0	0.28538633819567505
2326868	hit	cat	1.0	cat	1.0	0.981645469569961
2326931	same_cluster	sandwich	1.0	bread	1.0	0.46847558707644066
2326990	hit	suit	1.0	suit	1.0	0.6100089474010103
2327179	hit	dress	1.0	dress	1.0	0.7164222759522916
2327232	other_object-None	pasta	1.0	broccoli	0.875	0.4593633371017702
2327298	hit	train	1.0	train	1.0	0.7181767965293223
2327373	hit	pizza	1.0	pizza	1.0	0.7040461114923257
2327667	hit	bed	0.8333333333333334	bed	0.8333333333333334	0.5064481972142575
2327830	hit	cat	1.0	cat	1.0	0.986805710317555
2328101	hit	giraffe	0.8333333333333334	giraffe	0.8333333333333334	0.9165004068862052
2328124	hit	man	1.0	man	1.0	0.8399085156463646
2328239	hit	bridge	1.0	bridge	1.0	0.8652928974603273
2328242	hit	bed	1.0	bed	1.0	0.9485350240389145
2328324	hit	cat	1.0	cat	1.0	0.02670855279219163
2328879	hit	table	1.0	table	1.0	0.13958265932227965
2329031	same_cluster	sandwich	0.9285714285714286	hot dog,hotdog	0.9285714285714286	0.4988868831533845
2329105	hit	zebra	1.0	zebra	1.0	0.9548272131305459
2329362	hit	chair	1.0	chair	1.0	0.8532016646582649
