vg_img_id	vg_object_id	synset	url	plurals	low_similarity	optouts
2395290	456135	boat.n.01	http://object-naming-amore.upf.edu//2395290_456135_singleton_obj.png	[]	[]	{'#occlusion': 4}
2403399	381904	ungulate.n.01	http://object-naming-amore.upf.edu//2403399_381904_supercat_unique.png	[]	['_notfound_calf', '_notfound_animal', '_notfound_sheep', '_notfound_llama']	{'#occlusion': 1}
2399714	661479	furnishing.n.02	http://object-naming-amore.upf.edu//2399714_661479_supercat_unique.png	[]	['table/0.06', 'counter/0.06', 'phone/0.07']	{'#bbox': 1, '#occlusion': 1}
2370826	1970312	furnishing.n.02	http://object-naming-amore.upf.edu//2370826_1970312_seed_ambiguous.png	[]	['bench/0.06']	{'#occlusion': 1, '#bbox': 2}
2412968	183096	train.n.01	http://object-naming-amore.upf.edu//2412968_183096_singleton_obj.png	[]	[]	{'#occlusion': 1}
2396677	1196058	furnishing.n.02	http://object-naming-amore.upf.edu//2396677_1196058_singleton_obj.png	[]	['table/0.06']	{'#occlusion': 1}
2350293	3405940	woman.n.01	http://object-naming-amore.upf.edu//2350293_3405940_seed_ambiguous.png	[]	[]	{'#bbox': 1}
2409003	649150	house.n.01	http://object-naming-amore.upf.edu//2409003_649150_singleton_obj.png	[]	[]	{'#bbox': 5, '#occlusion': 1}
2358282	2664326	woman.n.01	http://object-naming-amore.upf.edu//2358282_2664326_singleton_obj.png	['goggles']	['goggles/0.00', '_notfound_skiier', '_notfound_skier']	{}
1159964	1599770	shirt.n.01	http://object-naming-amore.upf.edu//1159964_1599770_singleton_obj.png	[]	[]	{'#bbox': 4}
2353456	845841	furnishing.n.02	http://object-naming-amore.upf.edu//2353456_845841_supercat_unique.png	[]	['girl/0.03', 'kid/-0.01']	{'#bbox': 3}
2412665	299850	car.n.01	http://object-naming-amore.upf.edu//2412665_299850_supercat_ambiguous.png	[]	['_notfound_subway car']	{'#bbox': 1}
2416447	2973163	ungulate.n.01	http://object-naming-amore.upf.edu//2416447_2973163_seed_ambiguous.png	[]	['_notfound_cow', '_notfound_horse']	{'#bbox': 1}
2361982	778097	furnishing.n.02	http://object-naming-amore.upf.edu//2361982_778097_singleton_obj.png	[]	[]	{'#bbox': 1}
2373300	733269	kitchen_utensil.n.01	http://object-naming-amore.upf.edu//2373300_733269_singleton_obj.png	[]	['_notfound_cake pan', '_notfound_bowl', '_notfound_pie', '_notfound_pan', '_notfound_cake', '_notfound_springform', '_notfound_pot']	{'#occlusion': 1, '#bbox': 1}
2355596	3567463	man.n.01	http://object-naming-amore.upf.edu//2355596_3567463_singleton_obj.png	[]	['cabinet/0.08']	{'#bbox': 1}
2355129	2414534	ungulate.n.01	http://object-naming-amore.upf.edu//2355129_2414534_singleton_obj.png	[]	['_notfound_building', '_notfound_window']	{'#bbox': 6, '#occlusion': 1}
2345225	1042796	house.n.01	http://object-naming-amore.upf.edu//2345225_1042796_supercat_unique.png	[]	['man/0.20']	{'#bbox': 1}
2316957	3442495	woman.n.01	http://object-naming-amore.upf.edu//2316957_3442495_singleton_obj.png	[]	[]	{'#bbox': 1}
2392443	1230042	woman.n.01	http://object-naming-amore.upf.edu//2392443_1230042_supercat_unique.png	[]	['bottle/0.20']	{'#bbox': 1}
2412804	3123002	furnishing.n.02	http://object-naming-amore.upf.edu//2412804_3123002_supercat_unique.png	[]	['cabinet/0.15', '_notfound_cabinet door']	{'#occlusion': 1, '#bbox': 1}
2414599	155469	furnishing.n.02	http://object-naming-amore.upf.edu//2414599_155469_singleton_obj.png	[]	['floor/0.19']	{'#bbox': 1, '#occlusion': 1}
2407857	272407	foodstuff.n.02	http://object-naming-amore.upf.edu//2407857_272407_supercat_ambiguous.png	[]	['_notfound_pizza']	{'#bbox': 1}
2400514	1158052	boat.n.01	http://object-naming-amore.upf.edu//2400514_1158052_singleton_obj.png	[]	['_notfound_scooter', '_notfound_motorcycle']	{'#occlusion': 1}
2343263	2305927	house.n.01	http://object-naming-amore.upf.edu//2343263_2305927_supercat_unique.png	[]	[]	{'#occlusion': 2}
2377659	2196128	furnishing.n.02	http://object-naming-amore.upf.edu//2377659_2196128_singleton_obj.png	[]	['counter/0.06', 'table/0.06']	{'#occlusion': 1, '#bbox': 1}
2327278	2850755	baked_goods.n.01	http://object-naming-amore.upf.edu//2327278_2850755_supercat_unique.png	[]	['_notfound_cake', '_notfound_tray']	{'#occlusion': 1}
693	1029149	ungulate.n.01	http://object-naming-amore.upf.edu//693_1029149_singleton_obj.png	[]	['_notfound_wildabeast', '_notfound_yak', '_notfound_caribou', '_notfound_cow', '_notfound_bull', '_notfound_animal', '_notfound_bovine']	{'#other_I am unsure the name of this animal?': 1}
2341523	942188	male_child.n.01	http://object-naming-amore.upf.edu//2341523_942188_singleton_obj.png	[]	['_notfound_boy', '_notfound_child', '_notfound_man', '_notfound_kid', '_notfound_person']	{'#bbox': 1}
2392318	1231424	furnishing.n.02	http://object-naming-amore.upf.edu//2392318_1231424_singleton_obj.png	[]	['buffet/0.09', 'counter/0.06', '_notfound_display case', '_notfound_pizza warmer', 'table/0.06']	{'#bbox': 2}
2353403	846308	bridge.n.01	http://object-naming-amore.upf.edu//2353403_846308_supercat_unique.png	[]	[]	{'#bbox': 2}
2378462	1904012	flower.n.01	http://object-naming-amore.upf.edu//2378462_1904012_singleton_obj.png	['flowers']	[]	{}
2383768	530460	shirt.n.01	http://object-naming-amore.upf.edu//2383768_530460_singleton_obj.png	[]	['girl/0.17']	{'#bbox': 1}
2414271	297672	dish.n.02	http://object-naming-amore.upf.edu//2414271_297672_supercat_unique.png	['sausages']	[]	{'#bbox': 1}
2315810	3151205	woman.n.01	http://object-naming-amore.upf.edu//2315810_3151205_seed_ambiguous.png	[]	['pizza/0.15']	{'#bbox': 1}
2374565	2241622	motorcycle.n.01	http://object-naming-amore.upf.edu//2374565_2241622_supercat_unique.png	['shirts']	['_notfound_scooter', '_notfound_shirts', '_notfound_moped', '_notfound_motoecycle', '_notfound_motorcycle', '_notfound_shirt']	{'#occlusion': 2, '#bbox': 1}
2372588	591138	house.n.01	http://object-naming-amore.upf.edu//2372588_591138_singleton_obj.png	[]	['_notfound_hydrant']	{'#bbox': 2, '#occlusion': 1}
2364995	758218	truck.n.01	http://object-naming-amore.upf.edu//2364995_758218_supercat_unique.png	[]	[]	{'#occlusion': 1}
2381997	700081	man.n.01	http://object-naming-amore.upf.edu//2381997_700081_singleton_obj.png	[]	['_notfound_skateboarder', '_notfound_skater']	{'#bbox': 1}
2365737	632287	house.n.01	http://object-naming-amore.upf.edu//2365737_632287_singleton_obj.png	[]	['clock/0.00']	{'#bbox': 2}
2368114	748071	overgarment.n.01	http://object-naming-amore.upf.edu//2368114_748071_singleton_obj.png	[]	['_notfound_jacket', '_notfound_raincoat']	{'#occlusion': 1}
2343001	2543515	furnishing.n.02	http://object-naming-amore.upf.edu//2343001_2543515_seed_ambiguous.png	[]	['_notfound_dirt path', '_notfound_giraffe']	{'#bbox': 6}
2324783	2958360	furnishing.n.02	http://object-naming-amore.upf.edu//2324783_2958360_supercat_unique.png	[]	['dog/-0.00', '_notfound_office chair', 'chair/0.02']	{'#bbox': 1}
2361892	778692	boat.n.01	http://object-naming-amore.upf.edu//2361892_778692_singleton_obj.png	[]	['_notfound_boat railing']	{'#occlusion': 2}
2396479	664871	feline.n.01	http://object-naming-amore.upf.edu//2396479_664871_singleton_obj.png	[]	[]	{'#occlusion': 1}
