image_id	category	mn_name	adequacy	pred_name	adequacy	pred_score_converted
32	hit	cabinet	1.0	cabinet	1.0	0.004869070646142488
160	error	dress	1.0	woman	--	0.004219287238485351
308	error	bridge	1.0	bench	--	0.003801501318583678
474	hit	table	1.0	table	1.0	0.0059073792437460354
535	hit	table	1.0	table	1.0	0.004804698986690131
556	low_cnt	rug	1.0	table	--	0.005343027755829904
625	hit	car	1.0	car	1.0	0.005995394215832725
691	same_cluster	animal	1.0	cat	1.0	0.0039715160125322205
1045	hit	table	1.0	table	1.0	0.006206291889405245
1074	hit	house	1.0	house	1.0	0.011093841620619783
1132	same_cluster	counter	1.0	table	1.0	0.0048228069611010674
1375	co-hyponyms	man	1.0	woman	--	0.003838046540522716
1590	same_cluster	table	0.41666666666666663	desk	0.41666666666666663	0.0041720703112041405
1687	hit	chair	1.0	chair	1.0	0.00419057744275457
2611	hit	bird	1.0	bird	1.0	0.005251483796814211
2657	hyponym	animal	1.0	bird	--	0.004700798591955663
3611	hit	horse	1.0	horse	1.0	0.007047378472222495
3966	co-hyponyms	desk	1.0	counter	--	0.004475302190627758
4257	hit	building	1.0	building	1.0	0.007503005075798782
4711	hit	house	1.0	house	1.0	0.007504635573401906
4725	hit	house	1.0	house	1.0	0.007029783851357547
4766	hit	house	1.0	house	1.0	0.009532470886002495
4884	hit	chair	1.0	chair	1.0	0.004321071779789775
4911	hit	carpet	1.0	carpet	1.0	0.008235909825899428
61562	co-hyponyms	rug	1.0	bed	--	0.00655823198886336
61586	same_cluster	umpire	1.0	man	1.0	0.004940341076080689
61590	co-hyponyms	boy	1.0	skateboarder	--	0.004817319854962948
150336	co-hyponyms	woman	1.0	man	--	0.004118961955211996
150418	hit	horse	1.0	horse	1.0	0.005276326767659234
286084	hit	truck	1.0	truck	1.0	0.005754151658369023
498263	hit	sink	0.9166666666666666	sink	0.9166666666666666	0.004878812082935197
498298	hit	woman	1.0	woman	1.0	0.004774742105263254
498334	hit	shirt	1.0	shirt	1.0	0.004438246104985732
712987	same_cluster	person	1.0	skier	1.0	0.0042627898455011365
713267	hit	motorcycle	1.0	motorcycle	1.0	0.003968955033884558
713472	co-hyponyms	couch	1.0	bed	--	0.0063302714802117716
713702	error	train	1.0	truck	--	0.004101210840256943
1159909	hit	desk	0.8333333333333334	desk	0.8333333333333334	0.005458448543175924
