vg_img_id	vg_object_id	synset	obj_name	category	url	plurals	similarities	optouts	amt_responses
2338009	3703986	house.n.01	house	structure, construction	http://object-naming-amore.upf.edu//2338009_3703986_singleton_obj.png	['buildings']	[(0.37254506, 'window'), (0.37783796, 'buildings'), (0.42600977, 'door'), (0.4378754, 'building')]	{'#bbox': 1}	{'building': 4, 'window': 1, 'door': 1, 'buildings': 1, 'house': 1}
2352293	3214969	furnishing.n.02	bench	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2352293_3214969_singleton_obj.png	[]	[(0.089614436, 'step')]	{'#other_animal': 2}	{'bench': 6, 'step': 1}
2344341	2407715	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2344341_2407715_seed_ambiguous.png	[]	[(0.5125556, 'duck'), (0.6320278, 'goose')]	{'#other_animal': 2}	{'bird': 3, 'duck': 2, 'goose': 2}
2392581	1228243	dish.n.02	pizza	food, nutrient	http://object-naming-amore.upf.edu//2392581_1228243_singleton_obj.png	['snacks']	[(0.32379124, 'slice'), (0.44082022, 'snacks')]	{}	{'pizza': 7, 'snacks': 1, 'slice': 1}
2404801	375851	bird.n.01	duck	animal	http://object-naming-amore.upf.edu//2404801_375851_singleton_obj.png	[]	[(0.5125556, 'bird')]	{'#other_briad': 1, '#other_birds': 1}	{'duck': 6, 'bird': 1}
2392353	480823	man.n.01	man	person	http://object-naming-amore.upf.edu//2392353_480823_seed_ambiguous.png	[]	[(0.24072722, 'shirt'), (0.5342027, 'person')]	{'#bbox': 1, '#other_animal': 1}	{'man': 5, 'shirt': 1, 'person': 1}
2343350	924711	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2343350_924711_singleton_obj.png	[]	[]	{'#other_animal': 2}	{'giraffe': 7}
2413726	167516	woman.n.01	woman	person	http://object-naming-amore.upf.edu//2413726_167516_singleton_obj.png	[]	[(0.1833246, 'human'), (0.54701734, 'person'), (0.76640123, 'man')]	{'#other_right-hand and bottom box margin is not tight': 1}	{'person': 3, 'umberlla': 1, 'woman': 1, 'man': 1, 'human': 1}
2350101	2600985	furnishing.n.02	curtain	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2350101_2600985_seed_ambiguous.png	['curtains']	[(0.28781766, 'screen'), (0.6682635, 'curtains')]	{}	{'curtain': 5, 'curtains': 2, 'screen': 1}
2317476	3060280	man.n.01	man	person	http://object-naming-amore.upf.edu//2317476_3060280_supercat_ambiguous.png	[]	[]	{'#other_the box does not tightly bound any objects': 1}	{'man': 6, 'showfa': 1}
2408662	257406	furnishing.n.02	table	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2408662_257406_supercat_unique.png	[]	[(0.2314641, 'glass'), (0.4252193, 'tablecloth')]	{'#bbox': 1, '#occlusion': 1}	{'table': 4, 'glass': 1, 'tablecloth': 1}
2368373	618179	foodstuff.n.02	rice	food, nutrient	http://object-naming-amore.upf.edu//2368373_618179_singleton_obj.png	[]	[(0.25680247, 'cake'), (0.4833358, 'food')]	{'#other_box does not clearly bound any object': 1}	{'rice': 5, 'cake': 1, 'food': 1}
2381188	706542	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2381188_706542_singleton_obj.png	[]	[]	{'#other_animal': 1}	{'giraffe': 7}
2403576	657065	aircraft.n.01	plane	vehicle	http://object-naming-amore.upf.edu//2403576_657065_singleton_obj.png	[]	[(0.83484006, 'airplane')]	{'#other_box margins are not tight around any objects': 1}	{'airplane': 4, 'plane': 2, 'aeroplane': 1}
2319078	1004836	horse.n.01	horse	animal	http://object-naming-amore.upf.edu//2319078_1004836_singleton_obj.png	[]	[(0.16774105, 'wood'), (0.2666824, 'gate')]	{'#other_animal': 3}	{'horse': 4, 'wood': 1, 'gate': 1}
2328042	2908167	furnishing.n.02	table	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2328042_2908167_singleton_obj.png	[]	[(0.0940676, 'flower'), (0.27832836, 'vase base')]	{'#other_just the flowers? it is a vase or award...': 1}	{'flower': 5, 'table': 2, 'vase base': 1}
