image_id	category	mn_name	adequacy	pred_name	adequacy	pred_score_converted
32	hit	cabinet	1.0	cabinet	1.0	0.004461604787592989
160	error	dress	1.0	girl	--	0.004157440530069412
308	hit	bridge	1.0	bridge	1.0	0.004096404662612076
474	hit	table	1.0	table	1.0	0.0057126094973545555
535	hit	table	1.0	table	1.0	0.0046131381842435286
556	low_cnt	rug	1.0	table	--	0.0050080274033258805
625	hit	car	1.0	car	1.0	0.004497696762315853
691	same_cluster	animal	1.0	cat	1.0	0.003932174802379404
1045	hit	table	1.0	table	1.0	0.00551705223406957
1074	hit	house	1.0	house	1.0	0.011424676639152132
1132	hit	counter	1.0	counter	1.0	0.004829885117634739
1375	co-hyponyms	man	1.0	woman	--	0.003835783266302406
1590	hit	table	0.41666666666666663	table	0.41666666666666663	0.004336207263662188
1687	hit	chair	1.0	chair	1.0	0.0038974714342485096
2611	hit	bird	1.0	bird	1.0	0.004646397009028226
2657	hyponym	animal	1.0	bird	--	0.004589961360018624
3611	hit	horse	1.0	horse	1.0	0.006719964604106853
3966	co-hyponyms	desk	1.0	counter	--	0.0040242117179274655
4257	same_cluster	building	1.0	house	1.0	0.004940446160357636
4711	hit	house	1.0	house	1.0	0.006525520791657241
4725	hit	house	1.0	house	1.0	0.0064123099064102886
4766	hit	house	1.0	house	1.0	0.008565354533413888
4884	co-hyponyms	chair	1.0	desk	--	0.004047328939880135
4911	hit	carpet	1.0	carpet	1.0	0.006548202004129029
61562	co-hyponyms	rug	1.0	bed	--	0.0058539147020261716
61586	same_cluster	umpire	1.0	man	1.0	0.004735990822211976
61590	hit	boy	1.0	boy	1.0	0.004227970597046229
150336	low_cnt	woman	1.0	boy	--	0.003953325584635173
150418	hit	horse	1.0	horse	1.0	0.0053300320297721355
286084	hit	truck	1.0	truck	1.0	0.004797005381935335
498263	same_cluster	sink	0.9166666666666666	counter	0.9166666666666666	0.005425168120183241
498298	hit	woman	1.0	woman	1.0	0.004586469834273423
498334	hit	shirt	1.0	shirt	1.0	0.0042795012820764
712987	same_cluster	person	1.0	woman	1.0	0.00387883748817296
713267	hit	motorcycle	1.0	motorcycle	1.0	0.003606374417445378
713472	co-hyponyms	couch	1.0	bed	--	0.007129898506710995
713702	error	train	1.0	car	--	0.003857881524748781
1159909	hit	desk	0.8333333333333334	desk	0.8333333333333334	0.005103593445361433
1159981	same_cluster	bus	0.8333333333333334	truck	0.8333333333333334	0.00458807157278871
1160027	co-hyponyms	bathtub	1.0	counter	--	0.004028277525566906
1160051	co-hyponyms	couch	1.0	carpet	--	0.0037888761142636936
1160088	hit	motorcycle	1.0	motorcycle	1.0	0.004603241890217055
1160203	hit	bed	1.0	bed	1.0	0.0067610014869952965
1591814	hit	dugout	1.0	dugout	1.0	0.004033735524734665
1591904	hit	airplane	1.0	airplane	1.0	0.003808928138015515
1591965	error	table	0.8333333333333334	child	--	0.003811112871098799
1592028	hit	table	1.0	table	1.0	0.0061280408275557014
1592205	same_cluster	airplane	1.0	plane	1.0	0.004582670410742444
1592412	hit	boat	1.0	boat	1.0	0.005161623839952816
1593036	co-hyponyms	couch	1.0	chair	--	0.003876760013783754
2315401	hit	shirt	0.33333333333333337	shirt	0.33333333333333337	0.004230290586941091
