batch,source,hitid,assignmentid,control_score,control_score-filtered,decision1,decision2,explanation,mistakes,workerid
1,../1_pre-pilot/verification_round0_amt.csv_120,302U8RURJZ1DS64UZ0B5QPN9IPGNV6,3CN4LGXD5XOBWCNMC8OUMZHRBWV4Y2,0.8461538461538461,0.8461538461538461,approve,,good enough assignment,"[""http://object-naming-amore.upf.edu//2410749_321620_singleton_obj.png - line: must be 'bounding box error'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2339709_950369_supercat_ambiguous.png - sign: must be 'bounding box error'; you said 'named object misinterpreted'""]",worker49
1,../1_pre-pilot/verification_round0_amt.csv_120,302U8RURJZ1DS64UZ0B5QPN9IPGNV6,3Q5C1WP23M1W2PGJEO0VD4CV41115E,1.0,1.0,approve,bonus,"good enough assignment, bonus because very good assignment",[],worker4
1,../1_pre-pilot/verification_round0_amt.csv_120,302U8RURJZ1DS64UZ0B5QPN9IPGNV6,3R6BYFZZP7CWUNU1RTYBUP79YEPFX6,0.9230769230769232,0.9230769230769232,approve,,good enough assignment,"[""http://object-naming-amore.upf.edu//2410749_321620_singleton_obj.png - line: must be 'bounding box error'; you said 'named object misinterpreted'""]",worker12
1,../1_pre-pilot/verification_round0_amt.csv_153,304QEQWKZPKFHQ3QXINTKLXOE38O0U,3CP1TO84PT13RAYFXS09INM0W5B25O,0.7857142857142857,0.7857142857142857,approve,block,"good enough assignment, blocked because low average quality","[""http://object-naming-amore.upf.edu//2408238_1094139_singleton_obj.png - eraser: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2345651_906030_singleton_obj.png - flowers: must be 'bounding box error'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2353158_3104357_supercat_unique.png - firebox: must be 'other'; you said 'named object misinterpreted'""]",worker18
1,../1_pre-pilot/verification_round0_amt.csv_153,304QEQWKZPKFHQ3QXINTKLXOE38O0U,3RSDURM96AMTOEKF1E07VLTIOFUYEV,1.0,1.0,approve,bonus,"good enough assignment, bonus because very good assignment",[],worker40
1,../1_pre-pilot/verification_round0_amt.csv_153,304QEQWKZPKFHQ3QXINTKLXOE38O0U,3W92K5RLWUHCO1WHL2KKKSJBT5Q5VP,1.0,1.0,approve,bonus,"good enough assignment, bonus because very good assignment",[],worker4
1,../1_pre-pilot/verification_round0_amt.csv_65,30F94FBDNRKWE5B8RF6HYCZU4FBBTE,323Q6SJS8IGZ8XUMMPGPR3JFAHXHFS,0.7333333333333333,0.7333333333333333,approve,block,"good enough assignment, blocked because low average quality","[""http://object-naming-amore.upf.edu//2385022_522886_seed_ambiguous.png - fuslage: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2414190_158143_singleton_obj.png - cords: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2374375_1984147_singleton_obj.png - aprons: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2343813_2220291_supercat_unique.png - curtain: must be vg_majority; you said 'bounding box error'""]",worker5
1,../1_pre-pilot/verification_round0_amt.csv_65,30F94FBDNRKWE5B8RF6HYCZU4FBBTE,3LQ8PUHQFLSJIOWCNXMAU0W7Q9HHIB,0.9285714285714286,0.9285714285714286,approve,,good enough assignment,"[""http://object-naming-amore.upf.edu//2414190_158143_singleton_obj.png - cords: must be 'other'; you said 'bounding box error'""]",worker47
1,../1_pre-pilot/verification_round0_amt.csv_65,30F94FBDNRKWE5B8RF6HYCZU4FBBTE,3ZV9H2YQQD7MPB9IXT1NRX45MIW3W2,1.0,1.0,approve,bonus,"good enough assignment, bonus because very good assignment",[],worker4
1,../1_pre-pilot/verification_round0_amt.csv_77,3126F2F5F83WTGULKPZNUA4II93EPC,39DD6S19JPBTT4UKX02Q9S2KU8PZEC,0.8125,0.8666666666666667,approve,block,"good enough assignment, blocked because low average quality","[""http://object-naming-amore.upf.edu//2336427_960264_supercat_unique.png - whippy: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2379629_551624_singleton_obj.png - windshield: must be 'bounding box error'; you said 'adequate'"", ""http://object-naming-amore.upf.edu//2375468_1767490_singleton_obj.png - litgh: must be 'other'; you said 'named object misinterpreted'""]",worker17
